Latency: 4.9770s  (~0m 4.98s)
Latency: 5.6588s  (~0m 5.66s)
Latency: 5.9339s  (~0m 5.93s)
Latency: 4.5684s  (~0m 4.57s)
Latency: 5.1816s  (~0m 5.18s)
Latency: 5.5337s  (~0m 5.53s)
Latency: 6.3062s  (~0m 6.31s)
Latency: 5.7547s  (~0m 5.75s)
Latency: 4.8854s  (~0m 4.89s)
Latency: 5.0212s  (~0m 5.02s)
Latency: 5.1503s  (~0m 5.15s)
Latency: 6.7452s  (~0m 6.75s)
Latency: 4.9162s  (~0m 4.92s)
Latency: 5.7777s  (~0m 5.78s)
Latency: 5.1726s  (~0m 5.17s)
Latency: 4.8601s  (~0m 4.86s)
Latency: 6.2177s  (~0m 6.22s)
Latency: 5.9342s  (~0m 5.93s)
Latency: 5.7783s  (~0m 5.78s)
Latency: 8.1053s  (~0m 8.11s)
Latency: 6.2232s  (~0m 6.22s)
Latency: 5.9254s  (~0m 5.93s)
Latency: 7.7433s  (~0m 7.74s)
Latency: 5.2164s  (~0m 5.22s)
Latency: 4.7298s  (~0m 4.73s)
Latency: 5.7785s  (~0m 5.78s)
Latency: 6.7022s  (~0m 6.70s)
Latency: 8.0134s  (~0m 8.01s)
Latency: 7.5759s  (~0m 7.58s)
Latency: 5.9362s  (~0m 5.94s)
Latency: 5.0958s  (~0m 5.10s)
Latency: 6.6732s  (~0m 6.67s)
Latency: 6.6840s  (~0m 6.68s)
Latency: 7.7645s  (~0m 7.76s)
Latency: 7.5581s  (~0m 7.56s)
Latency: 7.1377s  (~0m 7.14s)
Latency: 7.7120s  (~0m 7.71s)
Latency: 7.3855s  (~0m 7.39s)
Latency: 4.4494s  (~0m 4.45s)
Latency: 5.6393s  (~0m 5.64s)
Latency: 6.3385s  (~0m 6.34s)
Latency: 6.2740s  (~0m 6.27s)
Latency: 5.3917s  (~0m 5.39s)
Latency: 5.3892s  (~0m 5.39s)
Latency: 5.7211s  (~0m 5.72s)
Latency: 5.0174s  (~0m 5.02s)
Latency: 6.2898s  (~0m 6.29s)
Latency: 5.0867s  (~0m 5.09s)
Latency: 5.1474s  (~0m 5.15s)
Latency: 7.8273s  (~0m 7.83s)
Latency: 8.3081s  (~0m 8.31s)
Latency: 7.2938s  (~0m 7.29s)
Latency: 6.3512s  (~0m 6.35s)
Latency: 5.1881s  (~0m 5.19s)
Latency: 6.4128s  (~0m 6.41s)
Latency: 4.9092s  (~0m 4.91s)
Latency: 3.7115s  (~0m 3.71s)
Latency: 7.0658s  (~0m 7.07s)
Latency: 8.3371s  (~0m 8.34s)
Latency: 5.0744s  (~0m 5.07s)
Latency: 4.9559s  (~0m 4.96s)
Latency: 5.2226s  (~0m 5.22s)
Latency: 7.2303s  (~0m 7.23s)
Latency: 6.8498s  (~0m 6.85s)
Latency: 6.4209s  (~0m 6.42s)
Latency: 7.2006s  (~0m 7.20s)
Latency: 5.7075s  (~0m 5.71s)
Latency: 4.2903s  (~0m 4.29s)
Latency: 4.5550s  (~0m 4.55s)
Latency: 7.9310s  (~0m 7.93s)
Latency: 6.8264s  (~0m 6.83s)
Latency: 7.2095s  (~0m 7.21s)
Latency: 5.6487s  (~0m 5.65s)
Latency: 6.6355s  (~0m 6.64s)
Latency: 4.3383s  (~0m 4.34s)
Latency: 8.6691s  (~0m 8.67s)
Latency: 5.3561s  (~0m 5.36s)
Latency: 6.3171s  (~0m 6.32s)
Latency: 7.3018s  (~0m 7.30s)
Latency: 6.5349s  (~0m 6.53s)
Latency: 7.2970s  (~0m 7.30s)
Latency: 7.4176s  (~0m 7.42s)
Latency: 4.7885s  (~0m 4.79s)
Latency: 7.2994s  (~0m 7.30s)
Latency: 6.2130s  (~0m 6.21s)
Latency: 9.9940s  (~0m 9.99s)
Latency: 6.7693s  (~0m 6.77s)
Latency: 6.1077s  (~0m 6.11s)
Latency: 7.7754s  (~0m 7.78s)
Latency: 5.6262s  (~0m 5.63s)
Latency: 6.0794s  (~0m 6.08s)
Latency: 6.4929s  (~0m 6.49s)
Latency: 8.3499s  (~0m 8.35s)
Latency: 5.6241s  (~0m 5.62s)
Latency: 6.8121s  (~0m 6.81s)
Latency: 5.9714s  (~0m 5.97s)
Latency: 4.7702s  (~0m 4.77s)
Latency: 5.5095s  (~0m 5.51s)
Latency: 5.1568s  (~0m 5.16s)
Latency: 7.9800s  (~0m 7.98s)
